dept,lab,hood,exclude
chem,nocera,CHEM.CONANT.308.FH12:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH13:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH14:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH15:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH16:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH17:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH18:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH19:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH20:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH21:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH22:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH23:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH24:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH25:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH26:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH27:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH28:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH29:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.308.FH30:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.304.FH:EXH FLOW,FALSE
chem,nocera,CHEM.CONANT.312.FH:EXH FLOW,FALSE
chem,park,CHEM.CONVER.FHC.RM012:EXH FLOW,FALSE
chem,park,CHEM.CONANT.FHC1.RM011:EXH FLOW,FALSE
chem,park,CHEM.CONANT.FHC2.RM011:EXH FLOW,FALSE
chem,park,CHEM.CONANT.FHC3.RM011:EXH FLOW,FALSE
chem,park,CHEM.CONANT.FHC4.RM011:EXH FLOW,FALSE
chem,ritter,CHEM.NAITO.FHC.313A:EXH FLOW,FALSE
chem,ritter,CHEM.NAITO.FHC.313B:EXH FLOW,FALSE
chem,ritter,CHEM.NAITO.FHC.313C:EXH FLOW,FALSE
chem,ritter,CHEM.NAITO.FHC.313D:EXH FLOW,FALSE
chem,ritter,CHEM.NAITO.FHC.313E:EXH FLOW,FALSE
chem,ritter,CHEM.NAITO.FHC.313F:EXH FLOW,FALSE
chem,ritter,CHEM.MALLIN.FHC.RM308A:EXH FLOW,FALSE
chem,ritter,CHEM.MALLIN.FHC.RM308B:EXH FLOW,FALSE
chem,ritter,CHEM.MALLIN.FHC.RM310A:EXH FLOW,FALSE
chem,ritter,CHEM.MALLIN.FHC.RM310B:EXH FLOW,FALSE
chem,ritter,CHEM.MALLIN.FHC.RM312:EXH FLOW,FALSE
chem,saghatelian,CHEM.CONVER.FHC1.RM207A:EXH FLOW,FALSE
chem,saghatelian,CHEM.CONVER.FHC2.RM207A:EXH FLOW,FALSE
chem,whitesides,CHEM.MALLIN.FHC1.RM234:EXH FLOW,FALSE
chem,whitesides,CHEM.MALLIN.FHC1.RM245:EXH FLOW,FALSE
chem,whitesides,CHEM.MALLIN.FHC1.RM246:EXH FLOW,FALSE
chem,xie,CHEM.MALLIN.FHC.EQUIP:EXH FLOW,FALSE
chem,xie,CHEM.MALLIN.FHC.MICRO2:EXH FLOW,FALSE
chem,xie,CHEM.MALLIN.FHC.MICRO3:EXH FLOW,FALSE
chem,xie,CHEM.MALLIN.FHC.RAMAN:EXH FLOW,FALSE
chem,xie,CHEM.MALLIN.FHC.WETLAB:EXH FLOW,FALSE
chem,xie,CHEM.MALLIN.FHC2.EQUIP:EXH FLOW,FALSE
chem,zhuang,CHEM.NAITO.034.FHC2:EXH FLOW,FALSE
chem,zhuang,CHEM.NAITO.FHC.B12:EXH FLOW,FALSE
chem,balskus,CHEM.MALLIN.FHC.M303E:FLOW STPT,TRUE
chem,balskus,CHEM.MALLIN.FHC.M303G:FLOW STPT,TRUE
chem,balskus,CHEM.MALLIN.FHC1.M303C:FLOW STPT,TRUE
chem,balskus,CHEM.MALLIN.FHC1.M303F:FLOW STPT,TRUE
chem,balskus,CHEM.MALLIN.FHC1.M303H:FLOW STPT,TRUE
chem,balskus,CHEM.MALLIN.FHC2.M303C:FLOW STPT,TRUE
chem,balskus,CHEM.MALLIN.FHC2.M303F:FLOW STPT,TRUE
chem,balskus,CHEM.MALLIN.FHC2.M303H:FLOW STPT,TRUE
chem,betley,CHEM.MALLIN.RM306C.FHC1:FLOW STPT,TRUE
chem,betley,CHEM.MALLIN.RM306C.FHC2:FLOW STPT,TRUE
chem,betley,CHEM.MALLIN.RM306M.FHC1:FLOW STPT,TRUE
chem,betley,CHEM.MALLIN.RM306M.FHC2:FLOW STPT,TRUE
chem,betley,CHEM.MALLIN.RM306O.FHC1:FLOW STPT,TRUE
chem,betley,CHEM.MALLIN.RM306O.FHC2:FLOW STPT,TRUE
chem,chem,CHEM.LIU.TEX,TRUE
chem,chem,CHEM.JACOBSEN.TEX,TRUE
chem,chem,CHEM.SHAIR.TEX,TRUE
chem,chem,CHEM.KAHN.TEX,TRUE
chem,chem,CHEM.BETLEY.TEX,TRUE
chem,chem,CHEM.GORDON.TEX,TRUE
chem,chem,CHEM.RITTER.TEX,TRUE
chem,chem,CHEM.MYERS.TEX,TRUE
chem,chem,CHEM.COREY.TEX,TRUE
chem,chem,MCKAY.WEITZ.TEX,TRUE
chem,chem,NW.TEACHLABS.TEX,TRUE
chem,chem,CHEM.PARK.TEX,TRUE
chem,chem,CHEM.KISHI.TEX,TRUE
chem,chem,CHEM.XIE.TEX,TRUE
chem,chem,CHEM.WHITESIDES.TEX,TRUE
chem,chem,CHEM.BALSKUS.TEX,TRUE
chem,chem,CHEM.NOCERA.TEX,TRUE
chem,shair,CHEM.LINK.FHC.RM320-A:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM320B:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM320C:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM320D:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM320E:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM320F:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM320G:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM320H:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM322A:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM322B:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM322C:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM322D:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM322E:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM322F:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM322G:FLOW STPT,TRUE
chem,shair,CHEM.LINK.FHC.RM322H:FLOW STPT,TRUE
chem,corey,CHEM.CONVER.FHC.RM316A:FLOW STPT,TRUE
chem,corey,CHEM.CONVER.FHC.RM316B:FLOW STPT,TRUE
chem,corey,CHEM.CONVER.FHC.RM316C:FLOW STPT,TRUE
chem,gordon,CHEM.NAITO.FHC1.RM118:FLOW STPT,TRUE
chem,gordon,CHEM.NAITO.FHC2.RM118:FLOW STPT,TRUE
chem,gordon,CHEM.NAITO.FHC3.RM118:FLOW STPT,TRUE
chem,gordon,CHEM.NAITO.FHC4.RM118:FLOW STPT,TRUE
